H20/0:9540;313
H21/1:8860;313
H21/3:0959;313
H21/0:1998;313
H20/2:4782;313
H19/2:6044;313
H22/0:6421;313
H20/0:1020;313
H22/2:6218;180
H21/4:4452;181
H21/2:0509;181
H20/1:8229;181
H21/3:0949;181
H21/4:4645;181
H21/3:8950;181
H21/4:0548;181
H21/3:0054;181
H22/0:5816;181
H21/3:8949;181
H22/2:5174;182
H22/1:4527;183
H22/1:4060;183
H22/1:3944;183
H22/1:3923;183
H22/1:4064;183
H22/1:4080;183
H22/1:3938;183
H22/1:3934;183
H22/1:4072;183
H22/1:4532;183
H22/1:4067;183
H22/1:4074;183
H22/1:3927;183
H22/1:5186;183
H21/1:0533;201
H21/4:4702;202
H22/1:7338;203
H19/2:9010;204
H22/2:5542;217
H22/2:5070;218
H22/1:9518;219
H22/1:9508;219
H22/1:9447;220
H22/1:3874;233
H22/1:6602;233
H22/2:6280;233
H22/0:8200;233
H22/2:6281;233
H22/2:5069;233
H22/0:1348;234
H22/0:5826;234
H21/1:8338;234
H22/2:7033;234
H22/0:1398;235
H21/3:3907;235
H22/0:5878;235
H21/3:5675;235
H21/2:4938;235
H21/3:5676;235
H21/4:0595;235
H22/2:5067;242
H22/1:6606;242
H22/1:6612;242
H22/1:6607;242
H22/1:6608;242
H22/1:6605;242
H22/1:6609;242
H22/1:6610;242
H22/1:6611;242
H22/1:9542;243
H22/1:3182;244
H22/1:3165;244
H22/1:3166;251
H22/1:6428;251
H22/1:6388;251
H22/1:9507;251
H22/1:6363;251
H22/1:6359;251
H22/1:8901;251
H22/1:6452;251
H22/1:8487;251
H22/1:6443;251
H22/1:8499;251
H22/0:6408;251
H22/1:6357;251
H22/1:6892;251
H22/2:1094;252
H22/2:0769;252
H22/1:6753;253
H22/2:5563;260
H22/1:2264;261
H22/1:8891;261
H21/2:6190;261
H21/2:8008;261
H22/1:4075;265
H22/1:3922;265
H22/1:5182;265
H22/1:4525;265
H22/1:5187;265
H22/1:3915;265
H22/1:3942;265
H22/1:4076;265
H22/1:3937;265
H22/1:4078;265
H22/1:3943;265
H22/1:4529;265
H22/1:3919;265
H22/1:3921;265
H22/1:5185;265
H22/1:5183;265
H22/1:1442;264
H21/2:6195;264
H21/2:6185;264
H21/0:5667;263
H22/1:8975;263
H20/3:0627;263
H22/1:5184;256
H22/1:4073;256
H22/1:3928;256
H21/3:6150;256
H22/1:3940;256
H22/1:5181;256
H22/1:3939;256
H22/1:3935;256
H22/1:4530;256
H22/1:4066;256
H22/1:5180;256
H21/3:6161;256
H21/3:6157;256
H21/4:2165;256
H21/4:2081;256
H22/2:1158;255
H22/1:6429;255
H22/1:7277;255
H22/1:4176;255
H22/0:9184;255
H22/1:4175;255
H22/1:6418;255
H22/1:6440;255
H22/1:6366;255
H22/0:6404;255
H22/1:5196;255
H22/1:6380;255
H22/1:6386;255
H22/0:5889;255
H22/0:5887;255
H22/2:1165;254
H22/1:8852;254
H22/1:8667;254
H21/3:3236;254
H22/1:6438;254
H21/3:3260;254
H21/2:0724;254
H22/1:6628;247
H20/0:2841;247
H22/2:6200;246
H22/2:7027;246
H22/1:4055;246
H22/1:6613;246
H22/1:6614;246
H21/3:3906;238
H20/3:3199;238
H21/3:3499;238
H20/3:9011;238
H20/3:9012;238
H21/1:2820;237
H21/3:6047;237
H21/2:4475;237
H21/2:2898;237
H21/1:8172;236
H21/1:8155;236
H21/3:4103;236
H20/3:4207;236
H20/3:0678;236
H21/1:2821;236
H21/1:6669;239
H21/1:8153;239
H21/4:0596;239
H21/3:7120;239
H21/2:6093;239
H21/2:4460;239
H21/2:6092;239
H21/2:4495;240
H21/2:4939;240
H21/3:7124;240
H21/2:2477;240
H21/2:4494;240
H21/2:6094;240
H21/4:0594;240
H22/1:4195;240
H21/2:4496;241
H21/3:7123;241
H21/3:7122;241
H21/3:7121;241
H21/3:0347;241
H21/2:6156;241
H21/2:6159;241
H20/3:8572;241
H21/2:6095;241
H22/0:1486;241
